date	actual	humidity	set	valve
2020-01-23 07:21:16.603002	20,2	47	19	0
2020-01-23 07:24:08.334683	20,2	47	19	0
2020-01-23 07:29:08.297044	20,2	47	19	0
2020-01-23 07:34:08.369421	20,2	47	19	0
2020-01-23 07:39:08.614517	20,2	47	19	0
2020-01-23 07:44:08.563365	20,2	47	19	0
2020-01-23 07:49:08.681954	20,2	47	19	0
2020-01-23 07:54:08.930493	20,2	47	19	0
2020-01-23 07:59:08.451699	20,2	47	19	0
2020-01-23 08:04:08.652793	20,2	47	21,5	51
2020-01-23 08:09:08.355901	20,2	47	21,5	51
2020-01-23 08:14:08.319449	20,2	47	21,5	51
2020-01-23 08:19:08.674936	20,2	47	21,5	51
2020-01-23 08:24:08.327263	20,2	47	21,5	51
2020-01-23 08:29:08.313543	20,2	47	21,5	51
2020-01-23 08:34:08.312255	20,6	46	21,5	51
2020-01-23 08:39:08.250412	20,6	46	21,5	51
2020-01-23 08:44:08.274215	20,6	46	21,5	41
2020-01-23 08:49:08.520287	20,6	46	21,5	41
2020-01-23 08:54:08.904609	20,9	45	21,5	41
2020-01-23 08:59:08.400443	20,9	45	21,5	41
2020-01-23 09:04:08.338810	20,9	45	21,5	41
2020-01-23 09:09:08.303673	20,9	45	21,5	41
2020-01-23 09:14:08.299878	20,9	45	21,5	41
2020-01-23 09:19:08.346413	20,9	45	21,5	41
2020-01-23 09:24:08.408708	20,9	45	21,5	41
2020-01-23 09:29:08.376785	20,9	45	21,5	41
2020-01-23 09:34:08.261229	20,9	45	21,5	41
2020-01-23 09:39:08.553280	20,9	45	21,5	41
2020-01-23 09:44:08.332376	21	44	21,5	41
2020-01-23 09:49:08.232363	21	44	21,5	41
2020-01-23 09:54:08.723307	21	44	21,5	41
2020-01-23 09:59:08.292972	21	44	21,5	41
2020-01-23 10:04:08.328319	21	44	21,5	41
2020-01-23 10:09:08.269022	21,2	45	21,5	41
2020-01-23 10:14:08.261554	21,2	45	21,5	31
2020-01-23 10:19:08.256736	21,2	45	21,5	31
2020-01-23 10:24:08.291483	21,2	45	21,5	31
2020-01-23 10:29:08.277563	21,2	45	21,5	31
2020-01-23 10:34:08.318745	21,2	45	21,5	31
2020-01-23 10:39:08.250601	21,2	45	21,5	31
2020-01-23 10:44:08.300709	21,2	45	21,5	31
2020-01-23 10:49:08.404870	21,2	45	21,5	31
2020-01-23 10:54:08.572729	21,2	45	21,5	31
2020-01-23 10:59:08.284905	21,3	45	21,5	31
2020-01-23 11:04:08.236481	21,3	45	21,5	31
2020-01-23 11:09:08.232384	21,3	45	21,5	31
2020-01-23 11:14:08.226830	21,3	45	21,5	31
